id	filename	md5	size	state
002f8b71-a424-4711-b039-1721276c9332	8994192d-24da-4f55-addb-0717e56f08af.FPKM.txt.gz	97344d494618bc4a81776434bf75d94c	533674	live
00fad128-d883-48ea-8c28-bdb548be89f6	3c5a10cf-2088-4179-9dad-88fcb6165c7b.FPKM.txt.gz	1390cd2ac61ab57957f36ff2ca9bcc80	524604	live
01063b4e-5a0d-4f11-8061-f8fd9a5f2fa5	5e3fd2aa-e0dd-4fe8-9944-05bba5d6bd91.FPKM.txt.gz	c89637df3bac5fb2410abb86d64e2652	510111	live
01c217d9-2305-4e79-b74a-ca4591c0179b	49523b41-16e1-4296-a0aa-7581568fb600.FPKM.txt.gz	699ac7f44cb3533f865c425fbde5a132	529936	live
02473ef3-650e-4edd-8819-61960116b99d	ebfce4d5-b465-48c1-b00d-a693acac89b6.FPKM.txt.gz	2be9aae04846b1507ef9dab390ff2b05	517235	live
026238da-b53c-46c0-bd47-85a3dcb6786b	d691550d-2d9b-4103-83c3-9c38dac3e459.FPKM.txt.gz	489c0329fbca27948bd74942a5cb6497	511027	live
028d7927-da85-4b2a-b2b1-a49a787c8fd9	3f2516a6-282f-46c5-a16d-5e7e09667cdc.FPKM.txt.gz	355141fd8bee2f2c1adc60a96a332068	509528	live
03151940-15a8-4069-a5a8-2cb33e4fc0eb	563c8a9f-5022-46be-9439-02f0a2e6900a.FPKM.txt.gz	80748a06342e975dcaed4573a0c2aa5b	530771	live
03942036-ba3a-4908-b8f2-dcec7c8b91a7	d0c8d150-3582-406e-af39-fd58f6e53290.FPKM.txt.gz	4987891a75416281bf69167e4662b134	507391	live
03d23292-2879-4de3-9723-b30ac1fca545	84779846-32eb-4ca8-82fe-35784128409b.FPKM.txt.gz	c02bdcf61bee39352d32e109c13a1b34	504546	live
04215568-c771-44de-aa5a-596910193353	363209a4-9d1d-450e-b9f4-e35400fd76f6.FPKM.txt.gz	2e511957a21f19214fe1726fb00c91d0	565809	live
046a4953-e614-4c69-963e-e7076cbe4530	3146ecff-1993-48e6-9777-79478172f685.FPKM.txt.gz	90d36c65afc32554d4f918d6624fcd77	529382	live
04969c80-7b53-47c5-9796-39a1386aa9b0	a97865ce-8a94-43aa-8998-4fc336300c77.FPKM.txt.gz	a793be0f35eb2b531fb5996ef24c5732	537584	live
04a540b2-aa25-44eb-8f86-56fcd7636875	a772773c-9c24-4eb0-bd27-70c8a72b2f51.FPKM.txt.gz	90694fc9dfb7242de1785a3987fefa85	499696	live
05582be3-0f99-4ea2-8c37-7fa23dcc67c5	21b1c050-5bb4-44a1-8fcc-4819d6f14c01.FPKM.txt.gz	0c68b2e6dea071f232afc1fbecc27db5	528903	live
05679136-9b0b-4375-a937-6e87a013de4d	07aa2816-d18f-4d88-b5fb-28d7c4492f68.FPKM.txt.gz	5fd4426460f84eaa255c0deaec21e514	500557	live
058d9d24-51b6-4e12-a0d5-5356575c0008	ae9e2486-4cc2-4bf6-bbeb-c467833080d7.FPKM.txt.gz	1c40ef08f81f079e0f7871f92e44ce25	530073	live
0706dfcc-3ab1-4c1d-a20e-ecf204625cb1	f4906ab8-6dc3-4e7f-b837-4d6227781e63.FPKM.txt.gz	0ec96719d6b2e4f725e932486d409609	516304	live
0754cb6e-797a-44b0-8f8d-8ed32b565714	c2827306-b3a3-471b-ba51-f8dbc2572d56.FPKM.txt.gz	2233c9d86d7dfc88e18ffb30e9f5c506	517455	live
07605fd3-8e31-41c7-ada6-e55c92833b15	41b7e78d-d2b0-4ddd-af2b-3baf02212387.FPKM.txt.gz	46d9e6f69281968602314e358f9abb5c	494625	live
07f53304-5d81-4a02-b8f0-95ae9a3b0fab	64bfb99a-508d-4f1e-9365-58745a59d518.FPKM.txt.gz	a769b2f34fd9f8a0593c6fa0f573799a	499913	live
0819e997-bba2-4d41-8b75-25696a77def0	430669ee-998d-4917-83b6-ee7f0b6cae46.FPKM.txt.gz	81da01f5f787129ca57bb6bd3a5736c4	518001	live
088e1616-d6bf-4dd7-afac-7caa9c8e2c8e	bce05ff9-b5e8-4c9a-a495-5430e442ea1f.FPKM.txt.gz	fb6c7390c487887a83614c5868404139	529199	live
090d617e-cc2e-41ff-af4a-f1a33fb641a3	acb3e352-b255-4c41-b90f-5e5ed2273b06.FPKM.txt.gz	a3271288d72b1cbfcac0b05b5041d691	508627	live
09d1cda5-5283-4d1c-8c35-ef77c5ea8b50	16785558-44bf-435f-b259-55d61b0f8b95.FPKM.txt.gz	420cecdf56b435a793008052457cec71	532095	live
0a544783-cfc1-42eb-bf7c-b0640bdf3bf0	070af2c9-b54f-41e2-a48d-a7e3bfaa9025.FPKM.txt.gz	932019a79a267159b7f7e9bd5c456447	490228	live
0b260f88-9222-4295-bf28-1f06cef3e040	b7174918-6cea-417e-8a86-f3a61ad81153.FPKM.txt.gz	3ac8bad1a641650c4b4d71fee5bf5483	531699	live
0bd7e37d-f065-4523-b36e-6651cf83973a	762d4b1e-808c-4f32-bc14-f7c33c6666f0.FPKM.txt.gz	e55584d5962a4a3be26146596249d07d	497125	live
0bdafc35-9d3d-494b-a08a-d642a8f64edf	f433e0b0-5a59-48ce-bad0-89490083168b.FPKM.txt.gz	d3c66240f4a4be623fdd9961e01acfb6	505495	live
0c82917e-28e7-4f09-8796-09a219535b0e	453b4e68-042b-41cb-97ec-6ea445d6df1d.FPKM.txt.gz	152c1b2653877b5890ab82fd27d80a46	480285	live
0c9537e9-3f1d-4e2c-9a2b-2d99458064bc	8913e499-5b3b-41a5-9873-c7ed88e131d9.FPKM.txt.gz	49a6a3e18b0f72cd5bce18c90291e92e	515878	live
0d3b231a-9dbd-4f0d-bba7-4711ea7b5f67	ea1ce00b-00f4-4194-97df-6a64227e7bdc.FPKM.txt.gz	e2b0f0dd1adee6c3f2dfb5142a56da13	506081	live
0d9c8880-111a-43b2-8d4d-560cdca93c25	56668876-3500-4a9f-a08d-8b7c060c3a52.FPKM.txt.gz	b658242e87d315fad80478062b1c9177	513715	live
0e1f38e1-92d2-4ee6-8267-207b5735387c	c7781536-da0b-41a3-9d72-f6fea426653b.FPKM.txt.gz	1b4256f8b8877afcbb43003310ee3a35	482124	live
